year,ABRANGENCI,notificacoes
2022,ANCHIETA,1089
2022,CAIC,923
2022,CENTRAL,1721
2022,CIDADE JARDIM,1232
2022,ELDORADO,1195
2022,ENGENHEIRO SCHMITT,671
2022,ESTORIL,2349
2022,FRATERNIDADE,335
2022,GABRIELA,1067
2022,GONZAGA DE CAMPOS,817
2022,JAGUARE,1536
2022,JARDIM AMERICANO,882
2022,LEALDADE E AMIZADE,852
2022,LUZ DA ESPERANCA,980
2022,MARIA LUCIA,2114
2022,NOVA ESPERANCA,548
2022,PARQUE DA CIDADANIA,503
2022,PARQUE INDUSTRIAL,1722
2022,RENASCER,660
2022,RIO PRETO I,825
2022,SANTO ANTONIO,1541
2022,SAO DEOCLECIANO,1666
2022,SAO FRANCISCO,2397
2022,SOLO SAGRADO,2006
2022,TALHADO,453
2022,VETORAZZO,2211
2022,VILA ELVIRA,791
2022,VILA MAYOR,906
2022,VILA TONINHO,1572
2023,ANCHIETA,550
2023,CAIC,540
2023,CENTRAL,772
2023,CIDADE JARDIM,688
2023,ELDORADO,540
2023,ENGENHEIRO SCHMITT,336
2023,ESTORIL,1058
2023,FRATERNIDADE,153
2023,GABRIELA,430
2023,GONZAGA DE CAMPOS,368
2023,JAGUARE,747
2023,JARDIM AMERICANO,399
2023,LEALDADE E AMIZADE,443
2023,LUZ DA ESPERANCA,496
2023,MARIA LUCIA,1037
2023,NOVA ESPERANCA,315
2023,PARQUE DA CIDADANIA,336
2023,PARQUE INDUSTRIAL,810
2023,RENASCER,358
2023,RIO PRETO I,401
2023,SANTO ANTONIO,822
2023,SAO DEOCLECIANO,848
2023,SAO FRANCISCO,1038
2023,SOLO SAGRADO,1043
2023,TALHADO,222
2023,VETORAZZO,906
2023,VILA ELVIRA,428
2023,VILA MAYOR,464
2023,VILA TONINHO,754
